Text,Sentiment
Kedilerin Hepimizin Enerjisini Birkaç Kat Daha Artırdığını Kanıtlayacak Kişilerden İçimizi Isıtan 15 Paylaşım,1
"Yeni Gelinlerin, Göreni ""Sebebi Neydi ki?"" Diye İsyan Ettirten İnanılmaz Sunum Çılgınlığı",1
Komikliğiyle Yurt Dışından Beleşe Kahkaha İthal Etmemizi Sağlayan Haftanın En Eğlenceli Görselleri,1
Kız İsteme Yerine Erkek İsteme Adeti Olsaydı Yaşanacak İlginç Olayları Söyleyip Hepimizi Güldüren Kişiler,1
Herkes Romantik Akşam Yemeklerini Paylaşırken Sevgililer Gününü Yalnız Geçirirken  Güldüren 17 Bekar,1
Sadakatsiz Dizisinde Volkan'ın Ali'ye Tokat Attığı Sahneye Yapılan Birbirinden Başarılı 17 Monte,1
Küfürsüz de Komik Olunabileceğini Kanıtlayan Kadınlardan Haftanın En Çok Güldüren Tweetleri,1
Bir Hafta Boyunca Ünlüleri Mizahına Alet Ederek Güldüren Kişiler,1
Eski Sevgililerine Kullanıcı Yorumu Yaparak Yaratıcılıklarını Konuşturanlardan Muhteşem Analizler,1
Aile Üyelerini Mizahlarına Alet Eden Goygoyculardan Haftanın En Eğlenceli 15 Paylaşımı,1
Yüzünüzde Gülümseme Bırakabilecek Spor Dünyasıyla İlgili Haftanın En Komik Paylaşımları,1
Görür Görmez Bilinçaltınızda Şimşekler Çakmasına Sebep Olacak 15 Nostaljik Reklam Görseli,1
Keşke Bizde de Olsa! Çocukken Çizgi Filmlerde Görüp İç Geçirdiğimiz 18 Şey,1
'Fuck Buddy'e Sevgililer Günü Hediyesi Alınır mı?' Sorunsalını Tartışıyoruz,1
Televizyon Dünyasıyla İlgili Attıkları Komik Tweetlerle Hafta Boyunca Güldürenler,1
Her Ne Yapıyorsanız Bırakıp Okumanız Gereken Haftanın En Komik 24 Tweeti,1
Yaptıkları Komik ve İğneleyici Yorumlarla Topu Doksana Yollayan 15 Sporsever,1
Hayatta Beyaz Lalelerden Daha Güzel Bir Şey Bulamayan Kadına Baltalı İlahlardan Yaratıcı Cevaplar,1
Kendisini Aldatan Kız Arkadaşından İntikam Almak İçin Aşırı İlginç Bir Yöntem Seçen Adamın Yaptıkları,1
Çöle Düşse Kutup Ayılarıyla Karşılaşıp Birtakım Tatsız Olaylar Yaşayabilecek 15 Bahtsız Kişi,1
Türkiye'nin Uzaya Gitme Gündemini Diline Dolayarak Güldüren Kişiler,1
Yıllardır Ekranın Tozunu Attıran Survivor'ın 2021 Modelinin Keyfini Mizahla Çıkaran Yurdum İnsanları,1
Fenerbahçe'nin Tartışılan İsmi Erol Bulut İçin Yapılan Birbirinden Komik ve Yaratıcı 20 Paylaşım,1
Astronot Kelimesine Türkçe Bir Alternatif Önersen Ne Olurdu?,1
Hayatın İçinden Ürettikleri Capslerle Hepimizi Güldüren 'Turkish Memes' Hesabından 16 Harika Paylaşım,1
İnternetteki Ata Sporumuz Olan Yorum Yapma Sanatının Bu Haftaki Altın Madalyalık 15 Temsilcisi,1
Ciddi Ortamlarda Yaptıkları En Absürt Şeyi Anlatırken Hepimizi Kahkahaya Boğan 19 Takipçi,1
Yemek Paylaşımlarına Yazdıkları Değişik Şeylerle Ne Anlatmaya Çalıştıklarını Çözemediğimiz 20 Kişi,1
Aya Çıkma Gündeminin Ardından Astronot Kelimesine Türkçe Alternatifler Sunan Takipçilerimiz,1
Şimdiye Kadar Aldıkları En Komik Nasihati Sıralarken Hepimizin Feleğini Şaşırtan Takipçilerimiz,1
