Text,Sentiment
Ünlülerin WhatsApp Grubunda Hangi Tip Olduklarını Analiz Ediyoruz!,1
Bir Parça Ofansifliğiyle Bir Kısmımızı Sinirlendirebilecek Bir Kısmımızı da Güldürecek 14 Paylaşım,1
Twitter'da Takipçilerinden Gördükleri En İyi Capsleri Göndermelerini İsteyen Elon Musk'a Gelen Birbirinden Komik Yanıtlar,1
İnsan Gerçekten Hayret Ediyor! Türkiye'nin de Listede Yer Aldığı Dünyanın En Tuhaf 20 Müzesi,1
Öğrencilerin Kabusu Olmaya Ant İçmiş 'Öğrenci İşleri'ne İsyan Ederken Güldüren 15 Kişi,1
"""Çocukluğunuzdan İçinizde Kalmış Bir Şey Var mı?"" Sorusuna Gelen Travma Soslu 17 Cevap",1
Her Şey Cinsellik Değil Yahu! Bir Erkeğin Seksten Sonra İkinci Sırada En Çok Hoşuna Giden Durumlar,1
Her Ne Yapıyorsanız Bırakıp Okumanız Gereken Haftanın En Komik 20 Tweet'i,1
Can Parçası Yeğenleriyle Yaşadıkları Muhteşem Anları Paylaşarak Mutluluk Bombardımanı Yaşatan 15 Kişi,1
Evde Cat Başına! Kedi Arife'nin Ev Hayatına Tebessüm Ederek Tanık Olacağınız 13 Karikatür,1
Kabin Memurlarından Ufkunuzu Açarken Biraz da Midenizi Bulandıracak 25 İtiraf,1
"Tüm Kadınların Görünce ""Aynı Ben'' Diyeceği Günlük Hayatta Boğuştuğumuz Sorunları Konu Edinen 22 Çizim",1
Türk Çizerlerin Hayal Gücünün Nokta Atışı Tespitlerle Harmanlandığı 14 Karikatür,1
İnsanların Yaptıklarından ve Sorduklarından Acayip Derecede Sıkıldığını Yazarak Dile Getirmiş 21 Bıkkın,1
Ünlü Olmayıp Türk Olsalar Sosyal Medya Paylaşımları Çoktan Hazır Olan Yabancı Ünlülere 15 Alternatif Paylaşım,1
Acilen Bu Yanlışlardan Dönmeli! Yıllar Geçse de Ülkede Bir Türlü Anlam Veremeyeceğimiz  15 Durum,1
Yaşanılan Olaylar Karşısında Kendisini Tutamayıp Eleştirirken Çok da Güzel Dalgasını Geçmiş Kişilerden 15 Paylaşım,1
Her Yere Cuk Diye Oturan Fotolarıyla Mizahın Aranan Kanı Olmuş Murat Şefe Yapılan 15 Caps,1
Fotoğrafları Konuşturarak Bambaşka Mizah Kafaları Yaratmış 16 Goygoycu,1
Parti ve Görüş Ayırmaksızın Bir Ay Boyunca Siyasileri Mizahına Alet Ederek Herkesi Güldüren 15 Kişi,1
Önceki Hayatında Hangi LGBT Bireydin?,1
Eski Sevgililerini Türlü Nesnelere Benzeten Takipçilerimizden Gelen Birbirinden 'Vurucu' 19 Görsel,1
"Ekranların Saykodelik Programı ""Hayatta Her Şey Var'dan"" 25 Şok Edici Kesit",1
Hiçbir Zaman Yapmadığınız İçin Göğsünüzü Gere Gere Gururlanmanız Gereken 15 Şey,1
Görünce Bir Distopyanın İçinde Sıkışıp Kaldığımızı Fark Ettirip Aşırı Derece Can Sıkan 17 Manzara,1
Hiçbir Zaman Yalnız Değiliz! İnsanların Fark Etmeden Ölümsüzleştirdiği 17 Korkutucu Fotoğraf,1
Yurdum İnsanının Bin Yıl Sonrasına Işınlanma Hakkı Olsa Yanında Götüreceği 15 Absürt Şey,1
Onların Neyi Eksik! Ünlüler Kitap Çıkarsaydı İsimleri Ne Olurdu?,1
"Metin Hara, Sevgilisi Adriana Lima ile Paylaştığı Fotoğrafın Altına Yapılan Yorumlara Verdiği Cevaplarla Herkesi Güldürdü",1
Bir Çiftin Çılgın Hayatını Anlatan Bu Çizimler Yüzünüzde Tatlı Bir Tebessüm Yaratacak,1
Babalarının Tatlı ve Komik Davranışlarını Paylaşarak Yüreğimizi Isıtmış 16 Kişi,1
'Önce Güvenlik!' Diyerek Eşeğini Sağlam Kazığa Bağlamaya Olayını Biraz Fazla Abartmış 16 Kişi,1
Ülke Olarak Kafayı Komple Sıyırdığımızın Resmi Belgesi Niteliğinde 15 Paylaşım,1
Capsleri ve Montajlarıyla Fark Yaratan Leblebizm'den Birbirinden Komik 14 Paylaşım,1
"Biraz Sessizlik Lütfen, Misonofi Hastalarına Biraz Saygı! Duyulduğu An İnsanı Sinir Krizine Sokan Sesler",1
Gözlerinize İnanmayın: Madara Olmaya Mahkum Olmuş Yanlış Açı Kurbanı 15 Fotoğraf!,1
Şehirlerimizin Karakteristik Özelliklerini Yansıtıp Görünce Sıradan Bir Görüntü Gibi Gelecek 15 Fotoğraf,1
Gördüğünüz Andan İtibaren Böğrünüze Öküz Oturmuş Gibi Ruhunuzu Darlayacak Aşırı Tuhaf 13 Görsel,1
Girdiği İddiayı Kaybettikten Sonra Ceza Olarak Kendi Fotoğraflarından Oluşan Bir Takvim Hazırlayan Adam,1
Ve Gerçekler Tüm Çıplaklığıyla Gözler Önüne Serilir: Yakınlaştırılmış Hallerini Görünce Gülme Krizine Gireceğiniz 20 Fotoğraf!,1
Aynı Yaşta Olduklarını Öğrenince Küçük Bir Sarsıntı Yaşayıp Hayretlere Düşeceğiniz 15 Ünlü İsim,1
Akrep Mağdurları Buraya! En Az Bir Kere Bu Burçtan Sevgilisi Olanların Çok İyi Anlayacağı İnsanı Çıldırtan Durumlar,1
"Bu Tweetleri Puanla, Sana İzlemen Gereken 5 Komedi Filmi Söyleyelim!",1
Peçete Falan Bir Şey Getirin! Hapşırıyormuş Gibi Poz Vermelerine Bir Türlü Anlam Veremediğimiz Ünlüler,1
Yeni Nesil Türk Edebiyatı'na Eleştirel Mizahıyla Ders Veren 'Ben Edebiyat Değilim' Hesabından 17 İbretlik Paylaşım,1
Bir Hafta Boyunca Yaptıkları Paylaşımlarla Duygularımıza Tercüman Olan 19 Kişi,1
Hayretler İçinde Kaldık! Gerçek Hayatta Muhtemelen Hiç Karşılaşmayacağınız 23 Nadir Görüntü,1
Geçen Hafta Yaptıkları Paylaşımlarla Herkesi Kahkahalara Boğan 17 Uluslararası Mizahşör,1
Dünya Onlar Sayesinde Daha Güzel! Sadece Kız Kardeşi Olanların Anlayacağı 22 Komik Durum,1
Bir Hafta Boyunca Ünlüleri Mizahına Alet Ederek Güldüren 15 Kişi,1
Bir Günlük Bebeklerine Instagram Hesabı Açan ve Onun Ağzından Paylaşımlar Yapan Gizem & Hakan Hatipoğlu Çifti Tartışmalara Neden Oldu,1
Televizyon Dünyasıyla İlgili Attıkları Komik Tweetlerle Hafta Boyunca Güldüren 15 Kişi,1
Hepsi Aşktan (!) Sevgilisine Yaptığı Kıskançlığın Dozunu Ayarlayamayıp Herkesin Diline Düşen 15 Ünlü Kadın,1
Çağımızın Vebası Kendi Halindeki Türk Mutfak Ustalarındaki Nusretleşme Sendromu,1
Eşiyle Birlikte Olabilmesi İçin Puan Toplaması Gereken Adamın Komik İsyanı,1
"""Kafamı Yastığa Koyduğum Gibi Uyurum"" Diyenleri Böyle Alalım! Bakarken Uykunuzu Getirecek 25 Fotoğraf",1
Görünce Bütün Asabınızı Bozup 'Olmaz Olsun Böyle Moda!' Dedirtecek Birbirinden Absürt 25 Kıyafet Tasarımı,1
İnternetteki Ata Sporumuz Olan Yorum Yapmanın Bu Haftaki Altın Madalyalık 17 Temsilcisi,1
Aile Üyelerini Mizahlarına Alet Eden Goygoyculardan Haftanın En Eğlenceli 19 Paylaşımı,1
Her Ne Yapıyorsanız Bırakıp Okumanız Gereken Haftanın En Komik 22 Tweet'i,1
Cinsel Hayatını En İyi Anlatan Albüm Kapağını Paylaşarak Hepimizi Kahkahaya Boğan 14 Takipçimiz,1
Hepimizin Sevdiği Karakterler Birer Kafein Bağımlısına Dönüşselerdi Nasıl Görünürlerdi?,1
Komik Olduğu Kadar Aşırı Derecede de İğneleyici Olan Birbirinden Eğlenceli 17 Çizim,1
Görünce Yüzünüzde Kocaman Bir Gülümseme Oluşturacak 16 Duygu Dolu Fotoğraf,1
Dört Tarafı Manyakla Çevrili Ülkemizin Televizyonundan 14 Beyin Yakan Enstantane,1
Alttan Ders Alan Öğrencilerin Psikolojisini Anlatan 15 Komik Tweet,1
Çocuklarıyla Yaşadıkları Komik ve Tatlı Anları Paylaşarak Herkesi Güldüren 15 Ebeveyn,1
"Görüldüğü Anda Sahibinin ""Seks Hayatım Yok"" Diye Bangır Bangır Bağırdığını İşaret Eden 13 Şey",1
"""Kaldı mı Böyle Güzel İnsanlar?"" Dedikleri Paylaşımlarıyla İroninin Dibine Vurmuş 14 Kişi",1
Twitter'da 'İnanılmaz' Bir Tespit Yapan Psikoloğa Gelen Hepsi Birbirinden Komik Tepkiler,1
Karşıt Görüşlü veya Rakip Olsa da Herkesin Ortak Bir Paydada Buluşabildiğini Anlatan 15 Eğlenceli Paylaşım,1
Bu Nineler Çok Şanslı! Konukları İçin Masraftan Kaçınmayıp Çıplak Garson Getiren Huzurevi,1
Vajina Diyemeyenler Buraya: Kadın Cinsel Organına Konulmuş Birbirinden Yaratıcı İsimler!,1
