Text,Sentiment
Yiğit Bulut'tan Vatandaşa Fahiş Fiyat Tavsiyesi: 'Her Şeyi Devlet Yapamaz; Gücünüzü Kullanın Tüketimi Kısın',0
AKP'li Özlem Zengin'den 'Çıplak Arama' İddialarına Yanıt: 'Ahlaklı Kadın Bir Sene Beklemez',0
"Erdoğan'dan Kılıçdaroğlu'na: 'Sen Ne Yüzsüzsün, Terbiyesiz Herif'",0
Vah ki Ne Vah! Çürümüş ve Son Tüketim Tarihi Geçmiş Gıdaları Ucuza Satan Dernek Önünde Uzun Kuyruklar Oluştu,0
Kayınpederinin Yakın Davranışlarına Anlam Veremeyen Kadının Gündüz Kuşağı Programlarını Aratmayacak Hikayesi!,0
Twitter'daki Kadınların Fotoğraflarını +18 Sitelere Koymakla Tehdit Eden Sapığın Mide Bulandıran Mesajları,0
Şeyma Subaşı'nın Dosta Düşmana Hava Atarcasına Koluna Takıp Poz Verdiği Yarım Milyonluk Timsah Derisi Çantası,0
Cumhurbaşkanı Erdoğan Gara Şehidi Annesi ile Telefonda Konuştu: 'Bir Anneye Böyle Bir Şeref Nasip Olmaz',0
Nereden Nereye! Her Şeye İsyan Eden Demet Akalın'ın Adım Adım Koronavirüse Yakalanma Sürecini Anlatıyoruz,0
Herkese Yasak AKP'ye Serbest: Erdoğan Rize Kongresinde Salonun Dolululuğu ile Övündü Tepkiler Gecikmedi,0
TikTok Fenomeninin Özgecan Aslan İçin Söyledikleri Tepki Çekti: 'Ölen İnsanın Yasını Neden Tutuyorsunuz?',0
"Yaşlı Kadın 'Açım Açım' Diye Seslendi, Cumhurbaşkanı Erdoğan Tepkisiz Kaldı",0
"TikTok'ta Bir Kadın İçin ""Sonu Özgecan Gibi Olacak"" İfadelerini Kullanan Şahsa Tepkiler Yağıyor",0
Anket: Anayasanın İlk 3 Maddesi Değişsin mi?,0
Yine Utandık! Ülkemizin Dört Bir Yanından 'Keşke Yaşanmasaydı' Dediğimiz Olaylar,0
"Ahmet Hakan, Oryantal Yaptığı Videosuyla Gündem Olan Hande Sarıoğlu'na Ağır Hakaret Etti!",0
Erdoğan'ın 'Ananı da Al Git' Dediği Çiftçi Tarlasını Satışa Çıkardı: 'Hayatımı Mahvettiler',0
Kocasını Kendi Annesi ile Yatak Odalarında Yakalayan Kadının Müge Anlı'yı Aratmayacak Bi' Garip Hikayesi,0
Öğrencilerin Üç Kuruş Parasına Göz Dikip Dillerini Koparmakla Tehdit Eden AKP'li Trolün Çıldırtan Talepleri,0
Leyla Aydemir Cinayetinde Korkunç Detay Yıllar Sonra Ortaya Çıktı...,0
Sen Çal Kapımı Dizisindeki Küvet Sahnesine 'Aile Yapısına Aykırı Olduğu İçin' Ceza Kesen RTÜK Tepki Çekti,0
"'Emek' Desen Var, 'Liyakat' Desen O da Var: Bir Günde Memur Olup, Cumhurbaşkanlığı'na Atandı",0
Ayasofya Baş İmamından Yeni Anayasa Çağrısı: 'Devletin Dini İslam Olsun',0
Başında Nöbet Tutulan Monolit Milli Uzay Programı Tanıtımının Reklamı Çıktı: 'Askerimiz İstismar Edildi',0
Diploman Var Diye İş Sahibi mi Olacaksın? Diyen Vatandaş Polis Şehidinin Oğluna Hain Dedi: Baban Şehit Diye...,0
Çorlu Tren Kazasında Oğlunu Kaybeden Mısra Öz'e 8 Bin 840 Lira Para Cezası,0
"""Hiçbir Art Niyetim Yok"": Makam Odasındaki Atatürk Portresinde Stor Perde Bulunan Ülkü Uslu Gündemde",0
Trakya Üniversitesi İlahiyat Dekanından Boğaziçi Tehdidi: 'Biz Gece Vakti İşi Bitirir Ertesi Gün İşe Gideriz',0
Tutuklanan Beyza Buldağ İçin Sosyal Medya Ayakta: #BeyzayıSerbestBırakın,0
Beyza Buldağ Tutuklandı...,0
"İmam Boğaziçili Öğrencilere 'Terörist' Dedi, Cemaat Camiyi Terk Etti...",0
"Mahir Ünal'dan 'Bizi Bitirdiniz' Diyen Çiftçiye 'Cebinde iPhone 6 Var, Bir de İnternet Paketi Almış'",0
"Takvim'in Alışveriş Önerileri Gündemde: Tok Karnına Çıkın, Çocuklar Olmasın; Araba Değil Sepet Kullanın",0
Milli Mücadele Karşıtı İskilipli Atıf İçin Anma Düzenleyen Çorum Valisi ve AKP'liler Tepkilerin Odağında,0
Söyleyecek Söz Kalmadı! Elindeki Sopayla Vura Vura Köpeği Öldüren Cani,0
Küçücük Kız Çocuğunu Yastıkla Boğmaya Çalışan Kadının Kan Donduran Görüntüleri!,0
"'Bizler Müşteri Değil Öğrenciyiz': %28,5 Zamlanan YKS 2021 Ücretlerine Öğrencilerin İsyanı Büyüyor",0
DNA'sı Uyumlu Çıkan Baş Şüpheli Ümitcan Uygun'un Şimdiye Kadar Serbest Kalmasına Tepkiler Çığ Gibi Büyüyor,0
İzmir'de İki Kişinin Yaşamını Yitirdiği Sel Felaketiyle Dalga Geçen Gümüşhane Belediyesi Tepkilerin Odağında,0
"Erdoğan'dan Boğaziçi Açıklaması: 'Öğrenci misiniz, Rektör Odası Basan Terörist mi?'",0
"Melih Bulu'dan Bir Açıklama Daha: 'Boğaziçi’ne Rektör Olma Hayaliyle Yaşadım, İstifayı Düşünmüyorum'",0
"Polis, Kadıköy Sokaklarında Öğrencileri Kovalarken Esnafın Yön Tarifine Vatandaştan Tepki: 'Bravo'",0
"İşkence Yapan Eşini Öldürmüştü: Savcı, Melek İpek İçin Müebbet Hapis İstedi",0
"Ankara'da Boğaziçi'ne Destek Protestosuna Müdahale: Polis Bir Kişinin Dişini Kırdı, Gözaltılar Var...",0
Hilal Kaplan: 'Boğaziçi Oligarşisi Yıkılacak; Dönüşümün Sancılarını Yaşıyoruz',0
Boğaziçi Üniversitesi Öğrencilerinin Eylemine Karşıt Görüşlü Radikal Grubun Yaptığı Kan Dondurucu Yorumlar,0
Boğaziçi Öğrencileri Aşağı Bakmadıkları İçin Gözaltına Alındı: Sosyal Medya #AşağıBakmayacağız',0
Erdoğan'dan Kongreye Katılanlara Teşekkür: 'Salgına Rağmen Salonları Tıklım Tıklım Doldurdunuz',0
Bitene Kadar Kadına Şiddeti Gözünüze Sokuyoruz: Bu Ay Erkekler Yine Ne Yaptı?,0
Savcının Aracına 'Hatalı Park Etmişsiniz' Notu Bırakan Vatandaş Hakkında Soruşturma Başlatıldı,0
"Tuğba Özay, Eğlence İçin Çekilen Videoyu Paylaşıp 'Fuhuşa Sürükleniyorlar' Dedi: 'Başıma Bir Şey Gelirse...'",0
"Erdoğan İmzaladı, Statüleri Kaldırıldı: 15 Yaylaya Yapılaşma İzni",0
Kocasının Üstüne Getirdiği Kumayla İlgili Soru Soran Kadına Sunucunun Verdiği Cevap Kafanızı Karıştıracak,0
"İki Kız Kardeş, Babalarına 'Taciz' İftirası Atıp Hapse Göndermiş: 'Tepkisinden Korkuyorduk'",0
Alım Gücü Düşen Vatandaşın Aldığı Kıymayı Diline Dolayan TRT Spikeri Ersoy Dede Tepkilerin Odağında,0
Gördüğünüz Andan İtibaren Gençliğinizden 20 Yılı Çalıp Götürecek Birbirinden Acayip Görseller,0
Bitkisel Yağ Sanayicileri Derneği Başkanı: 'Marketlerde Ayçiçek Yağı 75 Lira Değil 59 Lira Bir Kere',0
İnsanların Para İçin Neredeyse Kendilerine Zarar Verdikleri Kulağımızın Zarını Patlatan TikTok Canlı Yayınları,0
Erdil Yaşaroğlu Karikatürü Paylaştığı İçin Bilgisayarı ve Telefonuna El Koyulan Öğretmenin Şoke Eden İddiaları,0
Sevgilisini Darp Ettiği Görüntüleri Kayda Alarak Sosyal Medyada Yayınladı,0
