Text,Sentiment
"Evi Terk Eden Eşi Sevgililer Günü’nde Barışmayınca ‘Elveda’ Yazıp, İntihar Etti",0
Yeliz Koray’ın 6 Yıldır Terör Örgütünün Elinde Olan Vatandaşlarımız İçin Söyledikleri Boğazınızı Düğümleyecek!,0
"Geçim Sıkıntısı Çeken Anne ve Baba, Çocuklarını Akrabalarına Bırakıp İntihar Etti",0
Türk Denizciyle Hırvat Sevgilisinin Filmlere Taş Çıkaracak Büyük Aşk Hikayesi İçinizi Sızım Sızım Sızlatacak,0
İtalya'daki Türk Öğrencinin Bursuyla Yaptığı Market Alışverişini Görünce Sinirleriniz Bozulacak,0
Mutasyonlu Virüs Türkiye'yi Sarıyor! İşte Alınması Gereken Üç Yeni Tedbir,0
Belediye 'Evlerden Çıkmayın' Dedi! Korkunç Görüntülerle İzmir'de Yaşamı Felç Eden Sel Felaketi...,0
Masumlar Apartmanı'nda Safiye'nin Aşkı Naci'nin Kızı Tomris'e Yazdığı Yüreklerimizi Dağlayan Mektubu,0
TikTok'taki 'Blackout Challenge' 10 Yaşındaki Kızı Öldürdü,0
Kazakistan'ın En Büyük Metropollerinden Almatı'da Soğuktan Donan Hayvanların Görüntüleri,0
Ameliyat Masasındaki Skandalın Ayrıntıları: 'Kızımı Öldürüp Cesedini Kedi Gibi Kapıya Koydular',0
NASA Türkiye ile İlgili Bu Haritayı Paylaştı ve Uyardı!,0
"40 Gün Yoğun Bakımda Kaldı! Manolya Oktay, Estetik İçin Yattığı Ameliyat Masasından Kalkamadı",0
Gizli Ses Kaydı Delil Kabul Edildi! Yıllarca Akrabasının İstismarına Uğramıştı,0
"YouTube'da 5 Milyon Abonesi Olan Kadın, Son Videosunda 'Şiddete Uğruyorum, Yardım Et' İşareti Yaptı",0
Babanın 'Yetişemedim' Feryadı! Bir Genç Geçim Sıkıntısı Nedeniyle Kendini Astı,0
İnternetini Yeni Bağlatanlar İçin: Güldür Güldür'de 'Çok Ağır Şeyler Yaşadım' Diyen Çocuk Boğazları Düğümledi,0
83 Gün Boyunca Zorla Yaşatıldı: Dünyanın En Kötü Ölümünü Yaşayan Adam Hisashi Ouchi,0
NASA'nın Paylaştığı Görüntüler Korku Yarattı: İşte Kuzey Kutbu'ndaki Son Durum,0
"Yaşar Usta, Mahmut Hoca, Mehmet Çavuş, Baba Yaşar ve Daha Niceleri! Bir Yeşilçam Efsanesi: Münir Özkul",0
Filyasyon Ekibinin 'Bol Meyve Tüketin' Dediği Ailede Çocuktan Yanıt: 'Bizim Evimizde Meyve Yok',0
Bizi Kıskanan Almanya'daki Market Fiyatlarını Görünce Uzaklara Dalacaksınız!,0
"Ünlü Şarkıcı Jessie J'in Şarkı Söyleme, Düzgün Yürüme ve Bir Kulağının Duyma Yetisini Kaybettiği Açıklandı, Hayranları Üzüntüye Boğuldu",0
"Boş Cüzdanını Gösteren Gencin Söyledikleri Hepinizi Düşündürecek: 'O Kadar Umutsuz, O Kadar Mutsuzum ki... Ölsem Gözüm Arkada Kalmaz'",0
Doktorların Psikolojisi Ne Olacak? 'Entübe Edilecek Hastalar Son İsteklerini Söylüyorlar',0
Türkiye Tarihinin En Utanç Verici Anlarını Gözler Önüne Sererken İnsanlığa Olan İnancınızı Yerle Bir Edecek 20 Kare,0
"Hayatı Kararan Kadın, 6 Yıldır Mahkemeyi Bekliyor: Burun Ameliyatı Oldu, İki Bacağı da Kesildi",0
"Instagram Hesabında Canlı Yayın Yapan Taylor Swift, Yaptığı El Hareketi ile Şiddet Gördüğünü mü Anlatmaya Çalışıyordu?",0
"Maddi İmkansızlıklar İçerisinde Olan Eskişehirspor'da Futbolcu, Rakip Oyuncuyla Formasını Değiştiremedi",0
"Yıllardır Zorbalığa Maruz Kalan Little Mix Üyesi Jesy Nelson, Ruh Sağlığını Korumak İçin Gruptan Ayrıldığını Açıkladı",0
Son Dönemlerde İşsizlik ve Geçim Sıkıntısı Nedeniyle Bunalıma Girerek Yaşamlarına Son Veren Vatandaşlarımız,0
Verdikleri En Üzücü Haberi Sorduğumuz Takipçilerimizden Gelen Gözyaşlarınızın Sel Olup Akacağı 14 Cevap,0
İnsanların Kısa Bir Süre Sonra Öleceklerinden Habersiz Bir Şekilde Çektirdikleri Son Fotoğraflar İçinizi Parçalayacak!,0
"Otostopla Dünyayı Gezerken Türkiye'de Tecavüze Uğrayarak Öldürülen, Barışın Trajik Simgesi: Pippa Bacca",0
