Text,Sentiment
Kendini Köpek Sanan Rakun ve Köpek Dostunun İçinizi Isıtacak 15 Şirin Fotoğrafı,1
Hayatı Tesbih Yapıp Sallarken Hatalı Tercihler Yapmış 17 Kedi,1
Meğer Gece Vızıldayan Arıları Da Uyku Tutmuyormuş,1
Uyuma Şekliyle Eve Neşe Katan 10 Köpek,1
Henüz Doğmamış Hayvanların Anne Karnındaki Etkileyici Görüntüleri,1
Önceki Geceden Kalma Olduğu Her Halinden Anlaşılan 15 Hayvan,1
Eşinin Yasını Rayların Üzerinde Tutan Kuğu İçin 23 Tren Seferi İptal Edildi,1
Yavrularına Annelik Yapmaktan Gurur Duyan 20 Kedi,1
Saklambaç Oynamak İçin Çıldırdığımız 9 Hayvan,1
Aynı Dönemde Yaşamadığınıza Şükredeceğiniz 25 Tarih Öncesi Canavar,1
Tavuklar Üşümesin Diye Kazak Ören Güzel Kalpli Kız,1
Kendini Sıvı Zannedip Girdiği Kabın Şeklini Almış 17 Kedi,1
İnsan Annesine Her Akşam Başka Bir Yemek Pişiren Şef Kedi,1
Dünyanın En Güzel 10 Kuşu,1
Kızgın Görünen Kedi İstese de Mutlu Görünemiyor,1
Türler Arası Anlaşmayı Gösteren 13 Mutlu Eden Dostluk,1
İnsanlar Bu Koyunların Çok Şirin Mi Yoksa Korkutucu Mu Oldukları Konusunda Kararsız,1
Köpeğiyle Fotoğraf Çektirmeye Çalışan Kızın Kötü Sonu (+18),1
Dil  Çıkararak Tatlılıklarını İkiye Katlayan 15 Hayvan,1
Finlandiyalı Fotoğrafçının Eşsiz Vahşi Doğa Fotoğrafları Sizi Büyülü Bir Dünyaya Taşıyacak,1
Farklı Cinslerdeki Köpeklerin Çiftleşmesi ile Dünyaya Gelen 10 Tatlış Yavru,1
Bakınca Oyy Deyip Sarılmak İsteyeceğiniz 15 Bandajlı Hayvan,1
Başrolde Kedilerin Olduğu Kalbinize Dokunacak 15 An,1
Orman Yangınında Yanan Kaplumbağaya Yeni Bir Kabuk Yapan Süper İnsanlar,1
İzlanda’nın Pofuduk Ötesi Bebek Sığırları ile Tanışın,1
Sahiplerine Ufak Bir Kalp Krizi Yaşatan Muzip Hayvanlar,1
"Araçtaki yansımasıyla kavga eden keçi, arabaya 3 bin liralık zarar verdi",1
Bedava Yiyeceği Götürürken Birden Mavi Ekran Veren Sincap 2020 Yılının Özeti Gibi,1
Kediliğin Aslında Zor Bir Ninja Sanatı Olduğunu Gösteren 11 Kedi,1
Yol Kenarında Bulunan Bu Minnoş Kedinin Tüylerini Görmelisiniz,1
Oturdukları Yerleri Özenle Seçtikleri Belli Olan 12 Kedi,1
Yaptıklarının Ne Kadar Komik Olduğunun Farkında Olmayan 10 Köpek,1
32 Yıl Önce Nesli Tükenen Kauai ‘O’o Kuşunun Harika Sesi ve Şarkısı,1
Serçelerin Bu Şarkısı Viral Oldu ve Kanada’daki Diğer Kuşlar Da Söylüyor,1
Geyik Öldürmek Spor Değildir… 18 Kızıl Geyik İhale ile Avlanacak,1
Sizden Daha Kötü Bir Gün Geçirdiği Kesin 10 Hayvan Arkadaş,1
Bıdı Bıdı Bıdı Çekirge Değil Dev Çekirge Hem De Türkiye’de,1
Tarihin En Yaşlı Golden Retriever Köpeği İle Tanışın,1
Sahipsiz Kalan Sokak Hayvanlarının Maması Aksigorta’dan,1
Köpeklere Patronun Kim Olduğunu Göstermiş 12 Kedi,1
10 Yıldır Çiftleştirilemeyen Pandalar Koronavirüs Sayesinde Rahatlayıp Çiftleşti,1
Koronavirüs Dağ Keçilerinin İşine Yaradı,1
Evini Kediler İçin Yeniden Tasarladı,1
Son Halini Görünce Yumuşacık Olacaksınız,1
Kuşlar Sevişmek İçin Kilo Alıyor,1
Kendisini İnsan Gibi Davranmaya Çok Kaptırmış 15 Köpek,1
Sokakta Bulduğu Delikleri Oyun Alanına Çeviren Sevimli Kediler,1
Köpeklerin Köpek Dışında Benzedikleri 8 Şey,1
Ana Rahmindeki Görüntüleriyle Doğmadan da Şirin 15 Hayvan,1
Annesinin Mürekkebi Bitmiş Gibi İki Renkli Surata Sahip Şirin Kedi Yana ile Tanışın,1
İçinizi Isıtacak 15 Fotoğrafla Küçük Çocuklar Büyük Köpekler Projesi,1
Kediler 2000 Yıl Önce De Etrafı Dağıtmaya Meraklıymış,1
En İyi Dostu Köpeklerle Verdiği Pozlar İçinizi Isıtıcak,1
Uçamayacak Kadar Şişmanlayan Baykuşun Doğaya Salınma Anı,1
"Dövüştürülmek İstenen Horoz, Spartacus Gibi Sahibini Öldürdü",1
Kedi İle Köpek Arasındaki Farkları Anlatan 6 Komik Çizim,1
‘Okyanustaki Dev Sıcak Su Kütlesi Bir Milyon Kuşun Ölümüne Neden Oldu’,1
İnsanlığa İnancınızı Tazeleyecek 10 Hayvan Kurtarma Hikayesi,1
Kedilerin Matematiksel Olarak Mükemmel Olduğunun 10 Kanıtı,1
Çiftleşme Rekoru Kırarak Soyunun Tükenmesini Engelleyen Kaplumbağa İle Tanışın,1
