Text,Sentiment
Otellerin Havludan Canlılar Yapıp Aklımızı Aldığı 15 An,1
Mesaide Uyuyan Arkadaşlarını Başka Fotoğraflara Monte Etti,1
Birbirinden Komik Çocuktan Önce / Çocuktan Sonra Fotoğrafları,1
Uyuma Şekliyle Eve Neşe Katan 10 Köpek,1
Eğer Bunlar Tamamen Masumsa Neden Öyle Göremiyoruz Dedirten 15 Fotoğraf,1
İnternetten Alışveriş Yaptığına Derinden Pişman Olan 15 Kişi,1
Olabilecek En Kötü Nedenlerden Dolayı Meşhur Olmuş 15 Utandırıcı Fotoğraf,1
Davet Ettiği Arkadaşına Şovu Çaldıran 10 Hüzünlü İnsan,1
Whatsapp Olayını Tweetlerine Konu Eden 10 Komik Yazar,1
Caps ve Memes İçeriklerinde Kullanılan Kişilerin Şimdiki Hali,1
Büyük Markaların Milyonluk  Reklamlarla Yakalayamadığı Samimiyeti Tek İlanla Yakalamış 15 Esnaf,1
Alışveriş Merkezinde Uyuyan Kadının Fotoğrafına Yapılan Birbirinden Komik 21 Monte,1
İki Kere Düşünmenize Sebep Olacak 16 Gölge İllüzyonu,1
Her Yerinden Çakallık Fışkıran 9 Fotoğraf,1
Falcao’nun Oyuna Girip Çıkmasına Galatasaray Taraftarından Gelen 10 Komik Tepki,1
2021’in İlk Kapağı: Herkese Ulu Orta Laf Sokulmazmış,1
Zülfü Livaneli hesabından yanlışlıkla yarı çıplak bir fotoğraf paylaştı,1
Spor Hakkında Geçmiş Yıllarda Atılmış En İyi 13 Tweet,1
Noel Günü Başına Komik Şeyler Gelen 11 Kişi,1
Seksi Poz Vericem Diye Aptallığın Sınırlarını Zorlamış 15 Kişi,1
Haftayı Gülerek Kapatmanızı Sağlayacak 14 Tweet,1
Şişme Botu Yanlışlıkla Kafasına Geçiren Çocuğun Fotoğrafına Yapılan 10 Komik Monte,1
Tembelliğin İnsanlığı Geliştirdiğini Gösteren 12 Görüntü,1
Haftayı Eğlenerek Kapatmanızı Sağlayacak 10 Komik Hayvan Fotoğrafı,1
Aldığı Yeni Yıl Hediyesi İle Kızını Şaşkına Çeviren Anne,1
Kendi Saçını Kesmeye Karar Verdiğine Pişman Olmuş 10 Komik Çocuk,1
İngilizce Dil Sınavına Girmeden Tshirt Giymesi Yasaklanması Gereken 12 Şaşkın,1
Haftayı Neşe ve Umutla Kapatmanızı Sağlayacak 13 Tweet,1
“Hocam Ben Kamerayı Açmasam Olur mu?” Akımından 15 Komik Dizi Görseli,1
Beynimizin Komik Şeylere Dönüştürdüğü 10 İlginç ve Komik Fotoğraf,1
Online Dersin Nasıl Gittiğini Gösteren 9 Komik Tweet,1
Otomobili Çalınmasın Diye Acayip Önlemler Almış 11 Akıllı,1
Saklanmak Konusunda Pek Başarılı Sayılamayacak 18 Çocuk,1
Altyazıya Gülerken Size Ne İzlediğinizi Unutturacak 25 Komik Çeviri,1
Bir Logoyla Uygunsuz Çağrışımlar Yapan 14 Çizgi Film Sahnesi,1
Masterchef Hayali Kurarken Rezil Olan 10 Pastacı,1
Playstation 5 Sipariş Eden İngilize Bodrum Bulguru Gitti Photoshoplar Gecikmedi,1
Partide Ağzıyla İçmeyen Kişinin Üzerinde Farklı Eserler Deneyen 15 Arkadaş,1
Haftanın Özeti Niteliğinde Harika Tespitler Barındıran 18 Tweet,1
Gereksiz Sansür Eklenince Munzurlaşan 15 Kare,1
Bebek Annesine mi Benziyor Sorusuna Oyuncağına Diyebileceğiniz 15 Bebek,1
Haftayı Okuyarak Tamamlamanız Gereken 10 Tweet,1
Photoshop’u Program Olduğu Güne Lanet Ettiren 14 Zalım,1
Gece Kulüplerinin Dünyadaki En Garip Yer Olduğunun Kanıtı 16 Kare,1
Birbirinden Komik 17 Dernek İsmi,1
Kuralları Yıkmak İçin Dünyaya Gelmiş 17 Ters Kişilik,1
Kopya Çekmenin Kitabını Yazmış 10 Öğrenci,1
Açıklanması Mümkün Olmayan 15 Komik Fotoğraf,1
Ne Olduğunu Anlamadığımız 9 Absürt Fotoğraf,1
Evden Çalışanların Girdiği 7 Komik Kılık,1
Oturdukları Yerleri Özenle Seçtikleri Belli Olan 12 Kedi,1
Bu Elbiseye Gelen Yorumları Okurken Gülmekten Yarılacaksınız 😂,1
Lütfen Adam Seslenişiyle Bazı Hareketleri Durdurmak İsteyen Kızdan 12 Harika Tespit,1
Zaman Makinesi Olsa Ünlü Kişilere Vereceğimiz 10 Öğüt,1
Gününüzü Neşelendirecek Haftanın En Komik 10 Tweeti,1
Yaptıklarının Ne Kadar Komik Olduğunun Farkında Olmayan 10 Köpek,1
Manitaya Biz Yazıp Atmalık 13 Fotoğraf,1
Kız İçin Yapmayacağı Şey Olmayan 10 Adam,1
Nefes Alsın Yeter Felsefesine Sahip 18 Abaza Vatandaş,1
Yeni Snapchat Filtresiyle Disney Karakterlerine Dönüşen 15 Tatlı Köpek,1
Instagram’daki 72piks Hesabından İyi Bildiğimiz Şeyleri Harmanlayan 15 Paylaşım,1
Çizgi Filmlere Şimdi Baktığınızda Anlayacağınız 15 Sakıncalı Sahne,1
Arkadaşlarıyla Age Of Empires Oynamaya Giden Gencin Komik Hikayesi,1
İnsan Gibi Yürüyen Kuşa Yapılan Birbirinden Komik 18 Fotoşop,1
Aileye Katılmasıyla Neşeli Anlara Sebep Olan 10 Bebek,1
Muhabbeti Kaçıranlar İçin Haftanın En Komik ve Haklı 17 Tweeti,1
Dövmeleriyle Face Swap Yapan Kişilerden 10 Komik Poz,1
Erasmus Muharrem Hakkında Atılan 11 Komik Tweet,1
Günlük Hayatta Bilmeden Yaptığımız 13 Yoga Hareketi,1
Twitter’ın Yeni Komik Akımı Telefonculardan İyi Bildiğiniz 10 Konuşma,1
Asgari Ücretle Yapılacaklar Hesabından Ağlanacak Hale Güldüren 11 Komik Paylaşım,1
Twitter’ın Yeni Akımı Melek Kanadı Konseptine Konu Olan 11 Görsel,1
Tanık Olarak Mahkemeye Çıkarılan Yaşlı Kadın Verdiği Cevaplarla Herkesi Şaşkına Çevirdi,1
Her Yolculukta Yan Koltukta Ona Uyuyarak Eşlik Eden Karısının Fotoğraflarını Çekmiş… Muazzam!,1
Mimarlık Diploması Elinden Alınması Gereken 25 Mimar,1
Uzun Saçlı Olmanın Zorluklarını Anlatan 11 Komik Karikatür,1
Doğrusunu Unutma Garantili 12 Komik Kelime Kullanımı,1
Mizahıyla Baş Döndüren Bu İşin Nasıl Yapılmaması Gerektiğini Öğreten Dayı,1
Söylenmesi Alışılagelmiş 10 Komik Berber Yalanı,1
Koronavirüs Şeklinde Ekmek Üretti,1
Hanımcılığın Kitabını Yazan 11 Adam gibi Adam,1
Erkek Adam Dediğini Komik Yorumlarla Anlatmış 14 Komik Tanım (+18),1
Ne Yaptıklarını Unutup Komik Anılar Yaşayan 11 Twitter Kullanıcısı,1
Hakikaten he Dedirtecek 12 Harika Tespit,1
Haftasonunuza Keyif Katacak Haftanın En İyi 12 Tweeti,1
Tasarlayanın Beynine Oksijen Gitmediği Kesin Olan 10 Tasarım Faciası,1
Kızla Erkeğin Mesajlaşmasını Yansıtan 11 Komik Görsel,1
Sadece Hindistan’da Görebileceğiniz Komik Fotoğraflar,1
Büyüktür İşareti ile Karşılaştırma Akımından Tartışmaya Açık 15 Tespit,1
Babaların Şaka Konusunda Rakipsiz Olduğunu Kanıtlayan 29 Kare,1
Koronovirüs Cinsel İçerikli Filme Konu Oldu,1
Düğün Arabasının Arkasını Mizah Şova Dönüştürmüş 15 Çift,1
Kendisini İnsan Gibi Davranmaya Çok Kaptırmış 15 Köpek,1
Snapchat Tarihinin Tesadüf Sınırlarını Zorlayan 16 Komik Görseli,1
Online Alışveriş Tutkunlarını Bile Tövbe Ettirecek 12 Mağdur Fotoğrafı,1
Çocukların Masumiyetini Gözler Önüne Seren Saf ve Komik Fotoğraflar,1
Tuvalet Kağıdıyla Selfie Çekince Ay Gibi Görünme Akımı,1
Berber TAMAM BANA BIRAK Dedikten Sonra İlginçleşen 10 Saç Modeli,1
Görebileceğiniz En Absürt Fotoğraflar: Ya Kuru Fasülye Hayatımızın Her Yerinde Olsaydı?,1
Kız Arkadaş Yapan Kankaları İçin Cenaze Töreni Düzenlediler,1
Dövme Makinesini İntihara Sürüklemiş 8 Kötü Dövme,1
5 Ayda 250 Kitap Okuyan Atakan ile İlgili Sosyal Medyada Yapılan Geyikler,1
Fili Kurtaran Adam’ın Aşırı Şaşırtıcı Sonlu Mini Hikayesi,1
Sap Ama İyi Fotoğraf Çekebildiğinden Herkes Sevgilisi Var Sanıyor,1
Kahkaha Atacağınız Twitter’daki En Komik Hikayelerden Biri,1
"Kocasını İnternetten Satışa Çıkardı, Sonuçlara İnanamadı",1
Berdan Mardini’nin Kuzenine Takılan 13 Kafiyeli Komik İsim,1
Belediye Başkanı Mikrofon Açıkken Tuvalete Giderse,1
Kıbrıs Aksanı ile Harika Komedi: Neydi Olacağı’ndan Kıskanmayan Erkekler,1
Bir Haftanın Daha Sonuna Geldik! İşte Haftanın En İyi 16 Tweeti,1
"19 Yaşındaki Taylandlı Model, Instagram’da Paylaşılan Fotoğraflarla Dalga Geçti",1
Ünlü İsimlerin Fotoğraflarıyla Birleştiğinde Sizi Kahkahalara Boğacak 14 Söz,1
Tuvalet Levhalarını Mizah Şova Çevirmiş 16 İşletme,1
ÖSYM Twitter’dan erotik hesabı takibe aldı!,1
Ailenin Noel Hindisini Tek Başına Yiyen Minik Köpeğin Hazımsızlık Dolu Hikayesi,1
Fenomen Olmak İçin Alakasız Şekillerde Fotoğraf Çektiren İnsanların Komik Görüntüleri,1
Sınavlar Hakkında Muhteşem Tespitler Yapan 10 Komik Tweet,1
Resmen Dolandırıcılık: Gelinlerin  Makyajdan Önce ve Sonraki Halleri,1
Futbol ve Spor Denince Akla Gelen Atılmış En Komik 14 Tweet,1
Metin2 Oynarken Kız Taklidi Yapan Elemanın Yaran Hikayesi,1
Starbucks’ta Başına İlginç Olaylar Gelmiş veya Kahveye Komik Gözle Bakan 9 İnsan,1
Öğrenciliğin İmkansızlığı ile Bulunan 21 Yaratıcı İcat,1
Üniversitede Aldatılan Çocuğun Mükemmel İntikamı,1
11 Rengin Hiç Bilmediğiniz Komik Pandetone İsimleri,1
Haftanın İlk Gününü Gülerek Bitirmenizi Sağlayacak 10 Tweet,1
Hem Güldürecek Hem de WhatsApp’a Eklenebilecek 11 Etiket,1
Yetişkinlerin Eline Geçince Psikopatlaşan 15 Boyama Kitabı,1
Twitter’ın Yeni Komik Akımı: Biz orda bi uzaklaştık seninle,1
#KarneGünü Twitter’ı Şenlendiren 9 Tweet,1
Eski Sevgilisine Hiç Acımadan Laf Sokan 9 İnsan,1
Johnny Sins’in Türkiye’ye Gelmesine Sosyal Medyadan Komik Tepkiler,1
CEO ve Eşinin Yanına Metresi Yerleştirerek Boşandırmaya Götüren Kabin Memurunun Hikayesi,1
Yeni Fotoğraf Paylaşma Bahanesi: Getir Götürünü Yapar,1
Kızının Çektiği Selfielerle Dalga Geçen Baba,1
Romeo ve Juliet Bu Aşkın Getir Götürünü Yapar,1
Pazartesi Sendromunu Unutturma Etkili Hafta Sonunun En iyi 11 Tweeti,1
Öcünü Almayı Pek Komik ve Hain Yoldan Yapmış 9 Kişi,1
Cinci Hocayı Trolleyen Çocuğun Komik Hikayesi,1
2000’li Yıllarda Hepimizin Yaptığı Saçmalıklar,1
Yalnızca Ülkemizde Karşınıza Çıkabilecek En Sıra Dışı Sosyal Medya Paylaşımları,1
Bu Haftanın En Komik 13 Tweeti,1
Paralel Evrende Yolculuk: Bir Esenyurt Minibüsü Hikayesi,1
Tayland’da Poşet Yasaklandı Halk Bakın Nasıl Alışveriş Yaptı,1
Bu Çekyatı Görünce Aklınıza Ne Geliyor Diye Sorulmuş Cevaplar İse Evlere Şenlik,1
#DEVHİZMET: Cem Yılmaz ile İbrahim Selim’in Serenay Sarıkaya İtiraflı Programının Videosu,1
Pinterest’te Gördüğü Fotoğrafı Çekmek İçin Çocuğu Heder Eden 15 Aile,1
Troll TEDAŞ Hesabından Paylaşılmış Akıllara Zarar 15 Tweet,1
