text,label
ev terk e eş sevgili gün barışmay elveda yazıp intihar et,negatif
yel koray yıl terör örgüt el ola vatandaş söyledik boğaz düğümleyecek,negatif
geç sıkıntıs çeke anne bap çocuk akraba bırakıp intihar et,negatif
türk denizci hırvat sevgili film taş çıkaracak büyük aşk hikayes iç sız sız sızlatacak,negatif
italya türk öğrenci bursu yaptık market alışveriş gör sinir bozulacak,negatif
mutasyonlu virüs türkiye sarıyor iş alınmas gereke üç ye tedbir,negatif
beledi ev çıkmay dedi korkunç görüntü izmir yaşa felç e sel felaket,negatif
masum apartman safiye aşkı naci kız tomris yazdık yürek dağlaya mektup,negatif
tiktok blackout challenge yaş kız öldür,negatif
kazakista büyük almatı soğuk hayva görüntü,negatif
ameliyat masas skandal ayrıntı kız öldürüp cesedi kedi kapı ko,negatif
nas türki ilgil harita paylaş uyar,negatif
gün yok bak kal manolya oktay estetik yattık ameliyat masa kalkamadı,negatif
gizli ses ka delil kabul edil yıl akraba istismar uğramış,negatif
youtube milyo ola kadı son video şidde uğruyor yar et işaret yap,negatif
baba yetişemedi feryadı bir genç geç sıkıntıs neden kendi as,negatif
internet ye bağlatan gül güldür ağır şey yaşadı diye çocuk boğaz düğümledi,negatif
gün boy zor yaşatıl dünya köt ölüm yaşaya ada hisashi ouchi,negatif
nasa paylaştık görün korku yarat iş kuzey kutp son dur,negatif
yaşar us mahmut hoç mehmet çavuş bap yaşar nice bir yeşilça efsanes münir özkul,negatif
filyasyo ekip bol meyve tüket dedik aile çocuk yanıt biz ev meyve yok,negatif
biz kıskana almanya market fiyat gör uzak dalacak,negatif
ünlü şarkıç jessie jin şarkı söyle düzgü yür bir kulak duyma yeti kaybettik açıkla hayran üzüntü boğul,negatif
boş cüzdan göstere genç söyledik hep düşündürecek kadar umutsuz kadar mutsuz öl göz arka kalmaz,negatif
doktor psikolojis olacak entüp edilecek hasta son istek söylüyor,negatif
türki tarih utanç veriç an göz ön serer insanlık ola inanç yer bir edecek kare,negatif
hayat karara kadı yıl mahkeme bekliyor bur ameliyat ol ik bacak kesil,negatif
instagra hesap canlı yay yapa taylor swift yaptık el hareket şiddet gördük anlatma çalışıyor,negatif
maddi imkansızlık içeri ola eskişehirspor futbolcu rakip oyuncu forma değiştiremedi,negatif
yıl zorbalık maruz kala little üyes jesy nelso ruh sağlık korumak grup ayrıldık açıkladı,negatif
son dönem işsizlik geç sıkıntıs neden bunal girerek yaşam son vere vatandaş,negatif
verdik üzüç haber sorduk takipçi gele gözyaş sel olup akacak cevap,negatif
insa kıs bir sür sonra ölecek habersiz bir şekil çektirdik son fotoğraf iç parçalayacak,negatif
otostop dünya gezer türkiye tecavüz uğrayarak öldürüle barış trajik simges pippa baç,negatif
imdat çığlık ar sokak ülke ekonomik kriz denli büyük olduk göstere umudu söndüre olay,negatif
gün yaşadık zorluk şahit olduk kayıp paylaşa sağlık çalışan hali can yakacak,negatif
sokak orta ağlayarak borç par isteye ada iz gözyaş hak olamayacak kar hamil sabah ber borç par arıyor,negatif
televizyo olmadık kısıtlama bihaber sokak müşter bekleye boyaç sosyal medya gündem,negatif
çak et kemik nefret et dedir olay çocuk istismar yoksulluk kadı cinayet bir türki analiz,negatif
reytingi mi uğur elenecek bilindik halde haf açıklanmamas tepki ol,negatif
kura bir şekil yorumlanma eleştirdik işkence katledile müslüma feminist yazar ko kuriş,negatif
saç bit kurtulmak kafa benz döke sonra soba yan ya kadı yüz el ya,negatif
yok bakım dur kadar vah olduk anla paylaşım okuy tüy ürperecek,negatif
atanamadık kuryelik yapa bir öğretme öğretmen gün yaptık paylaş herke iç sızlat,negatif
