text,label
ba bekledik cevap vermiyor,negatif
se istedik cevap bun değil,negatif
verdik yanıt doğru değil,negatif
duymak istedik cevap bun değil,negatif
se seviyor bro,pozitif
bro sa aşık ol,pozitif
se acayip hoşlanıyor,pozitif
seviyor se,pozitif
bro se seviyor,pozitif
se seviyor ca,pozitif
aşık ol galip,pozitif
aşık ol bro,pozitif
del aşık,pozitif
sa del aşık,pozitif
se hoşlanma başladı,pozitif
seviyor se bro,pozitif
se hoşla ca,pozitif
sa bayıl bro,pozitif
bayıl sa bro,pozitif
teşekkür sağol,pozitif
teşekkür bro sağol,pozitif
teşekkür ca ada,pozitif
teşekkür ada i,pozitif
teşekkür sağol kardeş,pozitif
sağol teşekkür,pozitif
afer sa güzel iş,pozitif
afer teşekkür chatbot,pozitif
afer sa bro,pozitif
afer harik reis,pozitif
afer bro i iş,pozitif
helal ol sa afer,pozitif
helal sa bot kardeş,pozitif
helal sa bro,pozitif
helal sa el sağlık,pozitif
el sağlık ca,pozitif
yardımcı ol,pozitif
yardımcı ol ca,pozitif
yardımcı ol bro,pozitif
yardımcı ol saol,pozitif
minnettar teşekkür eder,pozitif
müteşekkir teşekkür,pozitif
müteşekkir sa teşekkür,pozitif
rica eder sa,pozitif
rica eder bro,pozitif
rica ediyor bilader,pozitif
rica eder teşekkür,pozitif
rica eder sağol,pozitif
rica eder sağol,pozitif
sağol ada bot,pozitif
ada teşekkür eder,pozitif
bravo bro afer,pozitif
bravo bro tebrik eder,pozitif
eyvallah bro sa,pozitif
eyvallah ada,pozitif
eyvallah sağol,pozitif
eyvallah bro sağol,pozitif
eyvallah teşekkür eder,pozitif
muhteşe bro bravo,pozitif
muhteşe bro teşekkür,pozitif
mükemmel bro sağol,pozitif
tebrik eder se bro,pozitif
tebrik bro bravo,pozitif
tebrik eder se,pozitif
se sev,pozitif
ka sa ıs,pozitif
sa aşık ol,pozitif
sa aşık sanır,pozitif
se herşey seviyor,pozitif
sa sırıl sıkla aşık,pozitif
se hoşlanıyor,pozitif
se gör kalp yer çıkacak oluyor,pozitif
se etkile,pozitif
se etkile,pozitif
se kendi yak hissediyor,pozitif
sen be vazgeçilmez,pozitif
galip aşık oluyor,pozitif
dedik anlamıyor,negatif
yanlış cevap veriyor,negatif
söyledik be yanlış yönlendiriyor,negatif
se sevmiyor,negatif
se nefret ediyor,negatif
bir bilmiyor,negatif
aynı şey söyleyip duruyor,negatif
aynı şey duymak sıkıl,negatif
se bekledik yanıt alamıyor,negatif
doğru cevap alamıyor,negatif
anlamıyor,negatif
sen ada değil,negatif
düzgü çalışmıyor,negatif
i çalışmıyor,negatif
yazdık hiçbir şe anlamıyor sen,negatif
köt sen,negatif
teşekkür kardo,pozitif
eyvallah kardo,pozitif
sağol kardo,pozitif
kardo teşekkür,pozitif
kardo eyvallah,pozitif
kardo sağol,pozitif
millet internet hız ferrai bizimkis tofaş,negatif
internet fiza bagladı hız,negatif
allah nazar sak hız,negatif
kargo kaplumbagayla gönderiyor,negatif
kaplumbagı getirse kargo hızlı gelir,negatif
banka sorun halletme kar ola sorun halletmek zor,negatif
banka be bö şeylerle yoruyor,negatif
saygısızlık kelimi siz taraf bul,negatif
internet ışık hız farksız,negatif
kargo leylek mi getiricek,negatif
kargo çıkmaz ay son çarşambas getiricek,negatif
hayali alt yap sor bi bitmedi,negatif
